"age","gender","marital_status","annual_income","employment_status","debt_to_income_ratio","credit_score","loan_amount","loan_purpose","interest_rate","loan_term","grade_subgrade","num_of_open_accounts","total_credit_limit","current_balance","delinquency_history","public_records","loan_paid_back","credit_score_category","loan_term_years","borrower_grade","age_group","debt_to_income_rating","loan_amount_segments","loan_paid_back_cat"
"35","Male","Married","15102.71","Employed","0.424","678","6933.8","Debt consolidation","16.19","60","C4","3","19948.01","11962.02","5","0","1","2-Standard","5","C","35-49","3. Risky(36-43%)","<9k","paid"
"36","Female","Married","44048.17","Self-employed","0.103","615","2109.2","Car","15.51","60","D3","5","48104.73","32790.34","2","0","1","2-Standard","5","D","35-49","1. Excellent(<20%)","<9k","paid"
"33","Female","Married","30139.12","Self-employed","0.137","656","11565.87","Debt consolidation","12.08","36","D5","7","37336.92","11657.18","0","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","9-15k","paid"
"69","Female","Married","95601.39","Employed","0.062","795","19219.58","Debt consolidation","10.32","36","B1","9","73633.3","18426.16","0","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","15-21k","paid"
"55","Male","Married","52717.67","Retired","0.214","644","10281.41","Medical","11.95","36","D4","4","31297.51","17911.83","2","0","1","2-Standard","3","D","50-59","2. Standard(20-35%)","9-15k","paid"
"72","Female","Married","15388.56","Self-employed","0.113","738","26235.55","Debt consolidation","10.45","36","C1","7","25807.01","9611.58","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","21k","paid"
"31","Male","Married","43683.64","Student","0.076","666","16579.9","Debt consolidation","13.11","36","D3","4","60538.65","41346.67","2","0","0","2-Standard","3","D","25-34","1. Excellent(<20%)","15-21k","default"
"41","Male","Single","27697.41","Employed","0.055","732","11743.18","Debt consolidation","16.65","60","C4","9","35117.21","29422.22","0","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","9-15k","paid"
"71","Female","Married","81044.12","Employed","0.1","674","11177.29","Debt consolidation","13.89","60","C5","8","87141.23","46097.55","2","0","1","2-Standard","5","C","60+","1. Excellent(<20%)","9-15k","paid"
"74","Female","Single","32119.29","Retired","0.137","570","21518.75","Other","15.48","36","F4","12","34881.88","29860.59","2","0","1","3-Risky","3","F","60+","1. Excellent(<20%)","21k","paid"
"31","Female","Widowed","29923.22","Unemployed","0.246","775","8177.08","Home","10.58","36","B5","3","36364.77","18576.02","2","0","0","1-Excellent","3","B","25-34","2. Standard(20-35%)","<9k","default"
"50","Female","Married","19999.47","Employed","0.207","682","2869.72","Other","15.23","60","C2","2","18543.2","2398.53","3","0","1","2-Standard","5","C","50-59","2. Standard(20-35%)","<9k","paid"
"68","Male","Married","18242.21","Employed","0.029","697","10920.63","Other","13.37","36","C4","7","27376.9","21084.67","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","9-15k","paid"
"73","Female","Divorced","22629.19","Employed","0.193","727","17121.96","Debt consolidation","14.44","36","C2","6","29151.18","24090.83","3","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","15-21k","paid"
"55","Male","Married","64997.31","Employed","0.265","752","6324.23","Other","11.37","36","B5","4","58680.75","23081.73","0","0","1","1-Excellent","3","B","50-59","2. Standard(20-35%)","<9k","paid"
"42","Male","Single","100902.91","Unemployed","0.045","800","500","Education","11.5","36","A1","6","141426.06","29972.71","0","0","1","1-Excellent","3","A","35-49","1. Excellent(<20%)","<9k","paid"
"58","Female","Married","96324.8","Self-employed","0.366","705","17936.93","Debt consolidation","11.02","60","C1","5","90834.43","6247.87","4","0","1","2-Standard","5","C","50-59","3. Risky(36-43%)","15-21k","paid"
"51","Male","Single","48229.1","Unemployed","0.324","686","11069.94","Debt consolidation","13.79","36","C3","5","47503.05","12123.88","1","0","0","2-Standard","3","C","50-59","2. Standard(20-35%)","9-15k","default"
"34","Female","Single","22765.57","Employed","0.166","765","13181.88","Other","9.48","60","B5","3","21135.1","10574.73","3","0","1","1-Excellent","5","B","25-34","1. Excellent(<20%)","9-15k","paid"
"44","Male","Married","17367.06","Self-employed","0.505","800","21571.61","Car","9.67","36","A3","6","27177.69","8949.26","3","0","1","1-Excellent","3","A","35-49","4. Danger(>0.43%)","21k","paid"
"70","Female","Married","41831.01","Employed","0.129","621","16278.92","Debt consolidation","14.79","60","D2","7","53962.36","36762.44","5","0","1","2-Standard","5","D","60+","1. Excellent(<20%)","15-21k","paid"
"69","Male","Married","19895.1","Employed","0.121","638","4817.39","Education","12.83","60","D2","8","37665.04","18218.32","2","0","1","2-Standard","5","D","60+","1. Excellent(<20%)","<9k","paid"
"52","Male","Married","122367.71","Employed","0.21","616","500","Debt consolidation","14.61","36","D3","7","158517.84","145491.68","4","0","1","2-Standard","3","D","50-59","2. Standard(20-35%)","<9k","paid"
"56","Female","Single","57642.81","Employed","0.181","694","19275.82","Debt consolidation","12.95","36","C2","6","59287.51","29797.04","4","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","15-21k","paid"
"52","Male","Married","36503.27","Employed","0.136","651","21114.64","Other","13.21","36","D5","9","48541.79","6753.97","5","0","1","2-Standard","3","D","50-59","1. Excellent(<20%)","21k","paid"
"75","Female","Single","42036.46","Unemployed","0.079","710","18458.48","Debt consolidation","11.43","60","C4","5","42380.8","9246.98","2","0","1","2-Standard","5","C","60+","1. Excellent(<20%)","15-21k","paid"
"35","Female","Single","36357.83","Employed","0.112","679","19658.24","Debt consolidation","9.82","36","C4","5","57618.57","8289.24","1","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","15-21k","paid"
"63","Female","Married","70033.89","Employed","0.37","662","13121.32","Car","14.13","36","D1","4","76648.81","13532.43","0","0","1","2-Standard","3","D","60+","3. Risky(36-43%)","9-15k","paid"
"55","Female","Single","44458.72","Retired","0.259","624","25828.67","Home","16.28","36","D2","2","48827","5792.58","2","0","1","2-Standard","3","D","50-59","2. Standard(20-35%)","21k","paid"
"23","Male","Single","24721.73","Employed","0.194","674","15729.11","Debt consolidation","12.83","60","C3","4","35654.02","24051.75","2","0","1","2-Standard","5","C","<25","1. Excellent(<20%)","15-21k","paid"
"36","Female","Single","44703.02","Unemployed","0.265","559","10046.36","Debt consolidation","14.21","36","F4","3","28868.46","10822.79","1","0","0","3-Risky","3","F","35-49","2. Standard(20-35%)","9-15k","default"
"25","Male","Married","31704.82","Employed","0.258","487","26740.1","Debt consolidation","19.67","36","F3","10","57338.74","9592.52","3","0","0","3-Risky","3","F","25-34","2. Standard(20-35%)","21k","default"
"41","Male","Married","28673.25","Unemployed","0.115","775","16409.63","Debt consolidation","13","36","B2","4","31400.77","3305.47","3","0","1","1-Excellent","3","B","35-49","1. Excellent(<20%)","15-21k","paid"
"30","Male","Divorced","29833.29","Employed","0.194","647","13842.52","Debt consolidation","11.78","36","D1","9","30667.07","4324.32","2","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","9-15k","paid"
"39","Female","Married","33057.77","Self-employed","0.309","746","9451.63","Other","13.55","36","B1","8","56186.6","15522.52","0","0","1","1-Excellent","3","B","35-49","2. Standard(20-35%)","9-15k","paid"
"45","Female","Single","6403.39","Employed","0.08","781","21810.19","Debt consolidation","8.9","36","B4","2","9149.06","7570.11","2","0","1","1-Excellent","3","B","35-49","1. Excellent(<20%)","21k","paid"
"24","Female","Single","50682.97","Employed","0.29","687","20973.31","Debt consolidation","13.6","36","C5","3","43073.42","2319.94","0","0","1","2-Standard","3","C","<25","2. Standard(20-35%)","15-21k","paid"
"49","Female","Single","54456.19","Employed","0.24","747","9922.2","Business","13.01","60","B2","1","32204.2","8018.1","2","0","1","1-Excellent","5","B","35-49","2. Standard(20-35%)","9-15k","paid"
"39","Female","Married","19385.49","Employed","0.17","776","21125.33","Other","12.86","36","B5","4","18109.81","8002.33","2","2","1","1-Excellent","3","B","35-49","1. Excellent(<20%)","21k","paid"
"63","Female","Married","14228.83","Self-employed","0.093","541","27531.82","Debt consolidation","18.36","60","F3","5","24105.31","9556.71","1","0","1","3-Risky","5","F","60+","1. Excellent(<20%)","21k","paid"
"22","Male","Married","86710.34","Employed","0.188","760","17050.76","Debt consolidation","12.68","36","B3","7","59871.1","52809.82","4","0","1","1-Excellent","3","B","<25","1. Excellent(<20%)","15-21k","paid"
"30","Female","Single","132427.02","Unemployed","0.182","778","17722.47","Debt consolidation","7.81","36","B2","6","182497.64","113511.09","1","0","0","1-Excellent","3","B","25-34","1. Excellent(<20%)","15-21k","default"
"63","Female","Single","34494.04","Employed","0.261","768","9206.09","Debt consolidation","9.39","60","B4","3","52013.53","35048.99","5","0","1","1-Excellent","5","B","60+","2. Standard(20-35%)","9-15k","paid"
"45","Male","Single","71454.74","Self-employed","0.039","806","7563.07","Vacation","10.29","36","A5","7","50773.07","13255.17","2","0","1","1-Excellent","3","A","35-49","1. Excellent(<20%)","<9k","paid"
"40","Female","Married","33098.76","Self-employed","0.164","685","4227.84","Home","15.39","36","C2","7","49903.7","18407.95","3","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","<9k","paid"
"68","Male","Single","41099.47","Employed","0.043","655","11670.88","Debt consolidation","14.33","36","D2","4","64014.07","13441.01","1","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","9-15k","paid"
"39","Female","Married","28535.78","Self-employed","0.076","698","10798.11","Debt consolidation","13.54","60","C5","10","33676.58","13552.65","0","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","9-15k","paid"
"43","Female","Single","57117.58","Unemployed","0.104","608","10608.35","Vacation","14.14","36","E1","1","41884.63","15139.04","3","0","0","2-Standard","3","E","35-49","1. Excellent(<20%)","9-15k","default"
"44","Female","Married","43968.6","Employed","0.216","655","36698.03","Business","13.05","36","D1","2","59187.21","11084.4","1","0","0","2-Standard","3","D","35-49","2. Standard(20-35%)","21k","default"
"31","Female","Single","84622.77","Employed","0.244","718","7932.04","Debt consolidation","11.4","36","C5","7","61082.54","51674.04","2","0","1","2-Standard","3","C","25-34","2. Standard(20-35%)","<9k","paid"
"66","Female","Single","29826.92","Employed","0.28","650","500","Business","14.5","36","D1","7","25380.72","22795.82","3","0","1","2-Standard","3","D","60+","2. Standard(20-35%)","<9k","paid"
"54","Female","Single","47813.67","Employed","0.049","688","19183.04","Medical","13","36","C2","5","57163.83","29747.27","2","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","15-21k","paid"
"75","Male","Single","58848.71","Employed","0.131","629","24530.9","Other","13.08","60","D4","1","45830.66","41629.06","3","0","1","2-Standard","5","D","60+","1. Excellent(<20%)","21k","paid"
"48","Male","Single","47989.57","Unemployed","0.186","697","10961.29","Debt consolidation","11.97","60","C5","2","54042.92","26679.68","3","0","0","2-Standard","5","C","35-49","1. Excellent(<20%)","9-15k","default"
"25","Female","Married","44761.57","Employed","0.048","717","15154.31","Debt consolidation","11.89","36","C2","3","57284.98","43507.18","1","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","15-21k","paid"
"25","Female","Single","87259.09","Employed","0.079","683","4990.24","Car","11.21","60","C3","4","67338.01","23621.15","1","0","1","2-Standard","5","C","25-34","1. Excellent(<20%)","<9k","paid"
"56","Male","Single","31723.94","Employed","0.249","693","17439.43","Debt consolidation","10.25","60","C2","5","26227.16","15927.18","3","0","1","2-Standard","5","C","50-59","2. Standard(20-35%)","15-21k","paid"
"71","Female","Single","19551.59","Employed","0.13","691","17298.86","Debt consolidation","8.72","60","C1","3","13662","9958.54","2","0","1","2-Standard","5","C","60+","1. Excellent(<20%)","15-21k","paid"
"41","Male","Married","51940.93","Employed","0.211","592","2130.34","Debt consolidation","12.89","36","E1","8","57377.05","10332.44","2","0","0","2-Standard","3","E","35-49","2. Standard(20-35%)","<9k","default"
"32","Female","Married","23772.31","Employed","0.025","634","29055.17","Car","15.7","36","D3","5","27442.15","11841.57","0","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","21k","paid"
"70","Female","Single","21670.99","Unemployed","0.073","792","30313.91","Education","12.34","60","B3","4","15785.34","12024.22","1","0","1","1-Excellent","5","B","60+","1. Excellent(<20%)","21k","paid"
"24","Male","Married","29060.45","Employed","0.368","723","9025.6","Other","11.99","36","C3","3","25934.39","2902.19","2","0","1","2-Standard","3","C","<25","3. Risky(36-43%)","9-15k","paid"
"74","Female","Married","45243.74","Self-employed","0.152","688","22892.98","Debt consolidation","10.73","36","C2","4","53725.81","12940.7","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","21k","paid"
"69","Female","Single","48391.95","Employed","0.404","773","22691.57","Debt consolidation","9.44","60","B2","6","75334.29","44639.09","3","0","1","1-Excellent","5","B","60+","3. Risky(36-43%)","21k","paid"
"62","Female","Married","31656.43","Employed","0.061","678","18677.15","Car","7.74","36","C3","4","29724.2","26789.29","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","15-21k","paid"
"40","Other","Single","59377.51","Employed","0.118","604","500","Other","10.5","36","E3","4","38530.05","21905.59","5","0","1","2-Standard","3","E","35-49","1. Excellent(<20%)","<9k","paid"
"58","Male","Single","62211.86","Employed","0.167","665","7125.57","Car","14.67","36","D3","1","93564","43975.85","2","1","1","2-Standard","3","D","50-59","1. Excellent(<20%)","<9k","paid"
"45","Female","Widowed","109029.58","Self-employed","0.138","719","22614.74","Education","10.65","60","C1","4","104928.19","90663.28","3","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","21k","paid"
"34","Female","Single","28461.16","Employed","0.068","602","17288.33","Other","16.8","36","E5","4","34061.35","17446.05","2","0","1","2-Standard","3","E","25-34","1. Excellent(<20%)","15-21k","paid"
"31","Female","Single","23203.89","Employed","0.093","733","24331.89","Home","12","36","C4","5","25187.71","21017.03","0","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","21k","paid"
"52","Female","Widowed","38898.14","Employed","0.332","585","17081.11","Education","14.71","36","E3","3","43429.14","38513.17","2","0","1","2-Standard","3","E","50-59","2. Standard(20-35%)","15-21k","paid"
"31","Female","Married","15814.11","Unemployed","0.259","770","2538.72","Debt consolidation","7.36","36","B2","8","25187.37","5550.45","1","0","0","1-Excellent","3","B","25-34","2. Standard(20-35%)","<9k","default"
"38","Male","Married","137622.19","Unemployed","0.186","667","11228.24","Debt consolidation","13.6","36","D4","10","167473.22","123550.91","0","0","0","2-Standard","3","D","35-49","1. Excellent(<20%)","9-15k","default"
"47","Male","Married","29965.42","Unemployed","0.285","612","21768.68","Debt consolidation","15.83","36","D3","6","34729.57","17540.13","2","0","0","2-Standard","3","D","35-49","2. Standard(20-35%)","21k","default"
"75","Male","Married","22551.83","Employed","0.162","671","2873.43","Business","14.45","36","C4","6","23642.98","20880","1","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","<9k","paid"
"74","Female","Married","37994.14","Employed","0.174","614","4038.6","Business","9.05","60","D5","5","45859.21","10691.15","4","0","1","2-Standard","5","D","60+","1. Excellent(<20%)","<9k","paid"
"38","Female","Single","38512.62","Unemployed","0.102","674","17180.54","Debt consolidation","11.92","36","C5","1","20350.97","13137.24","0","0","0","2-Standard","3","C","35-49","1. Excellent(<20%)","15-21k","default"
"43","Male","Single","41972.93","Self-employed","0.109","637","13103.11","Debt consolidation","14.86","36","D2","5","37080.26","17144.42","0","0","1","2-Standard","3","D","35-49","1. Excellent(<20%)","9-15k","paid"
"31","Male","Single","47860.73","Employed","0.139","661","1087.82","Debt consolidation","13.87","36","D1","4","49473.87","37563.91","4","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","<9k","paid"
"41","Male","Single","20379.34","Self-employed","0.156","515","12339.62","Debt consolidation","11.16","60","F1","3","18715.1","15075.05","3","0","1","3-Risky","5","F","35-49","1. Excellent(<20%)","9-15k","paid"
"64","Female","Single","44903.49","Retired","0.079","664","8279.6","Debt consolidation","5.74","36","D2","8","50800.09","39023.6","3","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","<9k","paid"
"25","Female","Married","30669.65","Employed","0.155","710","19334.01","Debt consolidation","9.26","36","C2","4","25344.14","1632.33","5","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","15-21k","paid"
"43","Female","Single","27943.01","Employed","0.338","690","7525.35","Car","11.55","36","C3","8","32751.95","13352.59","1","0","1","2-Standard","3","C","35-49","2. Standard(20-35%)","<9k","paid"
"61","Female","Single","63016.88","Employed","0.088","688","7349.46","Other","14.67","36","C4","3","52782.66","30161.95","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","<9k","paid"
"45","Female","Married","13950.15","Self-employed","0.195","549","3277.97","Debt consolidation","15.62","36","F4","7","19993.83","18217.94","2","1","1","3-Risky","3","F","35-49","1. Excellent(<20%)","<9k","paid"
"61","Male","Married","56123.61","Employed","0.195","675","24679.41","Debt consolidation","10.19","36","C4","1","56058.27","25577.81","0","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","21k","paid"
"74","Female","Married","106295.56","Employed","0.262","824","17865.34","Debt consolidation","10.09","60","A4","8","81177.82","57069.78","1","0","1","1-Excellent","5","A","60+","2. Standard(20-35%)","15-21k","paid"
"30","Female","Married","45998.06","Employed","0.278","707","10298.85","Education","9.98","60","C4","8","33664.42","21906.85","0","0","1","2-Standard","5","C","25-34","2. Standard(20-35%)","9-15k","paid"
"42","Female","Divorced","121638.25","Employed","0.179","761","19428.35","Debt consolidation","12.9","60","B3","1","114833.43","97806.12","0","0","1","1-Excellent","5","B","35-49","1. Excellent(<20%)","15-21k","paid"
"39","Female","Married","56523.88","Employed","0.089","735","8207.48","Other","9.52","60","C5","4","61249.65","51463.53","0","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","<9k","paid"
"21","Female","Married","30737.03","Employed","0.03","660","14430.97","Debt consolidation","12.91","36","D1","4","48028.64","21088.84","2","0","1","2-Standard","3","D","<25","1. Excellent(<20%)","9-15k","paid"
"27","Female","Married","22649.69","Employed","0.146","716","500","Debt consolidation","10.74","60","C3","6","36952.19","14746.59","2","0","1","2-Standard","5","C","25-34","1. Excellent(<20%)","<9k","paid"
"24","Female","Married","33756.45","Unemployed","0.075","545","15890.3","Debt consolidation","12.72","60","F1","8","43851.89","29680.85","1","0","0","3-Risky","5","F","<25","1. Excellent(<20%)","15-21k","default"
"21","Other","Married","39480.39","Self-employed","0.016","679","13528.83","Debt consolidation","15.48","36","C4","4","62145.21","7152.26","2","0","1","2-Standard","3","C","<25","1. Excellent(<20%)","9-15k","paid"
"35","Female","Married","30597.86","Employed","0.189","588","7560.02","Business","13.68","60","E3","5","24715.83","19478.35","2","0","1","2-Standard","5","E","35-49","1. Excellent(<20%)","<9k","paid"
"60","Male","Single","57210.58","Unemployed","0.168","689","32545.55","Medical","10.46","36","C2","6","36641.77","34349.69","2","0","0","2-Standard","3","C","60+","1. Excellent(<20%)","21k","default"
"32","Male","Married","16412.98","Self-employed","0.171","616","16903.63","Car","14.73","36","D1","9","30903.83","6433.2","3","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","15-21k","paid"
"42","Female","Married","18823.77","Employed","0.167","708","11659.81","Home","11.44","60","C5","5","17856.72","4303.77","5","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","9-15k","paid"
"42","Male","Married","41339.14","Employed","0.165","671","19357.82","Home","12.14","60","C3","5","37154.42","30428.12","2","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","15-21k","paid"
"70","Male","Single","24791.34","Self-employed","0.051","850","18487","Other","8.46","36","A2","6","31599.61","12078.95","0","0","1","1-Excellent","3","A","60+","1. Excellent(<20%)","15-21k","paid"
"67","Male","Single","32843.71","Unemployed","0.193","754","23597.23","Business","7.51","36","B5","7","55957.39","41733.79","4","0","0","1-Excellent","3","B","60+","1. Excellent(<20%)","21k","default"
"37","Female","Single","17003.6","Employed","0.058","787","25198.35","Other","12.14","36","B5","2","24825.31","10637.15","3","0","1","1-Excellent","3","B","35-49","1. Excellent(<20%)","21k","paid"
"49","Female","Married","30118.11","Self-employed","0.212","558","16697.52","Debt consolidation","11.97","36","F5","4","42250.81","14555.93","1","2","1","3-Risky","3","F","35-49","2. Standard(20-35%)","15-21k","paid"
"66","Male","Married","30576.97","Self-employed","0.196","703","16483.33","Debt consolidation","11.43","36","C4","4","45455.53","18579.33","4","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","15-21k","paid"
"34","Male","Single","24849.94","Employed","0.273","673","1990.85","Car","9.93","36","C1","5","29580.92","26687.99","1","1","1","2-Standard","3","C","25-34","2. Standard(20-35%)","<9k","paid"
"70","Female","Married","45859.38","Employed","0.143","770","3333.72","Car","7.48","36","B2","4","39441.51","16607.53","3","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","<9k","paid"
"40","Male","Single","19267.62","Employed","0.133","634","7395.6","Debt consolidation","15.12","60","D4","5","24287.55","5238","3","0","1","2-Standard","5","D","35-49","1. Excellent(<20%)","<9k","paid"
"70","Male","Single","85612.72","Employed","0.141","590","7449.99","Debt consolidation","16.06","36","E4","3","61075.73","28703.51","3","0","0","2-Standard","3","E","60+","1. Excellent(<20%)","<9k","default"
"68","Female","Married","43099.81","Employed","0.065","512","15507.36","Education","16.04","36","F3","10","41913.78","27382.72","4","0","0","3-Risky","3","F","60+","1. Excellent(<20%)","15-21k","default"
"53","Female","Married","24519.99","Employed","0.198","723","13206.01","Car","13.61","36","C1","2","21909.9","1549.13","1","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","9-15k","paid"
"75","Male","Married","6000","Unemployed","0.143","574","500","Car","17.45","36","F3","6","11585.19","2521.92","2","0","0","3-Risky","3","F","60+","1. Excellent(<20%)","<9k","default"
"63","Female","Single","118288.5","Employed","0.082","727","11865.34","Car","10.64","36","C3","3","66898.77","12304.16","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","9-15k","paid"
"35","Male","Married","50243.42","Employed","0.295","643","18674.86","Business","16.79","60","D5","7","36138.97","32936.12","1","0","0","2-Standard","5","D","35-49","2. Standard(20-35%)","15-21k","default"
"32","Female","Married","70225.1","Employed","0.052","688","500","Medical","11.98","36","C3","1","88855.76","57027.37","3","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","<9k","paid"
"60","Male","Single","53779.68","Employed","0.242","549","8065.99","Home","17.27","36","F2","2","62699.66","40677.61","1","0","1","3-Risky","3","F","60+","2. Standard(20-35%)","<9k","paid"
"74","Male","Widowed","62428.77","Employed","0.274","691","10120.5","Business","10.41","36","C4","4","35776.69","21963.27","1","0","1","2-Standard","3","C","60+","2. Standard(20-35%)","9-15k","paid"
"40","Female","Married","42855.27","Employed","0.105","697","500","Medical","9.22","36","C5","1","35840.1","19149.69","3","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","<9k","paid"
"50","Female","Single","45829.03","Self-employed","0.074","576","8514","Debt consolidation","14.64","60","F3","9","67629.72","4759.12","2","0","1","3-Risky","5","F","50-59","1. Excellent(<20%)","<9k","paid"
"58","Male","Married","40680.09","Unemployed","0.168","749","26706.99","Business","9.02","36","B1","4","30383.61","7367.29","4","0","0","1-Excellent","3","B","50-59","1. Excellent(<20%)","21k","default"
"23","Male","Single","60019.06","Unemployed","0.151","620","18829.32","Car","15.77","60","D1","3","77154.99","50275.31","3","0","0","2-Standard","5","D","<25","1. Excellent(<20%)","15-21k","default"
"48","Female","Married","61519.63","Employed","0.027","678","30063.55","Other","12.4","36","C2","4","80142.57","68134.1","1","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","21k","paid"
"46","Female","Married","45895.63","Employed","0.139","672","8867.98","Debt consolidation","12.59","60","C2","2","69988.15","5281.79","2","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","<9k","paid"
"50","Male","Single","62413.95","Employed","0.366","629","11405.2","Car","14.39","36","D1","4","50743.06","10213.13","2","0","1","2-Standard","3","D","50-59","3. Risky(36-43%)","9-15k","paid"
"33","Female","Married","65020.59","Employed","0.089","679","17438.32","Business","11.55","36","C5","5","99985.5","92464.17","1","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","15-21k","paid"
"33","Male","Married","25817.09","Employed","0.189","680","12576.66","Education","13.45","36","C3","3","33021.35","3466.02","3","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","9-15k","paid"
"22","Female","Widowed","25260.45","Self-employed","0.044","667","17729.9","Other","7.13","36","D3","9","28320.31","12243.99","1","0","1","2-Standard","3","D","<25","1. Excellent(<20%)","15-21k","paid"
"57","Male","Single","60537.18","Employed","0.217","588","22103.43","Debt consolidation","12.82","36","E3","5","54503.3","42598.15","4","0","1","2-Standard","3","E","50-59","2. Standard(20-35%)","21k","paid"
"69","Male","Married","24159.72","Employed","0.196","642","20138.64","Education","11.71","60","D3","4","37054.71","6609.65","1","0","1","2-Standard","5","D","60+","1. Excellent(<20%)","15-21k","paid"
"58","Male","Married","47124.69","Retired","0.12","623","500","Other","12.01","60","D4","4","44211.11","23182.9","4","0","1","2-Standard","5","D","50-59","1. Excellent(<20%)","<9k","paid"
"22","Male","Single","20551.83","Employed","0.082","645","3793.93","Car","15.22","36","D5","6","29807.48","21068.62","3","0","1","2-Standard","3","D","<25","1. Excellent(<20%)","<9k","paid"
"74","Male","Married","7671.31","Self-employed","0.05","620","500","Debt consolidation","15.75","36","D1","4","10073.93","694.51","2","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","<9k","paid"
"46","Male","Married","25471.3","Employed","0.088","671","8192.59","Vacation","14.78","36","C3","7","22557.58","13411.62","1","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","<9k","paid"
"31","Male","Single","39940.3","Employed","0.145","678","4648.94","Vacation","9.66","36","C1","3","41127.23","19185.99","1","2","1","2-Standard","3","C","25-34","1. Excellent(<20%)","<9k","paid"
"28","Female","Divorced","23052.42","Unemployed","0.166","596","1425.64","Business","15.26","60","E4","3","26933.49","19864.6","3","0","0","2-Standard","5","E","25-34","1. Excellent(<20%)","<9k","default"
"64","Male","Single","13055.26","Employed","0.234","658","793.32","Debt consolidation","10.67","60","D3","7","22490.42","8141.92","3","0","1","2-Standard","5","D","60+","2. Standard(20-35%)","<9k","paid"
"60","Female","Married","22701.09","Self-employed","0.317","607","9502.19","Debt consolidation","16.24","36","E1","6","26824.99","24630.71","3","0","0","2-Standard","3","E","60+","2. Standard(20-35%)","9-15k","default"
"63","Male","Married","30218.16","Unemployed","0.046","740","20054.4","Education","13.52","36","B3","4","29673.19","21826.87","1","1","1","1-Excellent","3","B","60+","1. Excellent(<20%)","15-21k","paid"
"42","Male","Married","49191.34","Employed","0.087","708","9321.17","Home","10.94","36","C2","4","73506.24","23470.37","3","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","9-15k","paid"
"40","Female","Single","35335.02","Employed","0.088","591","11161.7","Medical","12.95","36","E4","10","45935.98","23216.65","1","0","1","2-Standard","3","E","35-49","1. Excellent(<20%)","9-15k","paid"
"28","Female","Married","20635.93","Employed","0.09","609","10232.86","Education","14.31","36","E3","1","30293.7","2976.22","2","0","0","2-Standard","3","E","25-34","1. Excellent(<20%)","9-15k","default"
"49","Male","Married","69575.73","Employed","0.082","695","5928.09","Home","12.9","60","C2","5","54620.53","18993.84","5","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","<9k","paid"
"60","Male","Married","102834.79","Employed","0.427","721","13608.59","Home","9.78","36","C4","3","116041.02","59817.38","2","0","1","2-Standard","3","C","60+","3. Risky(36-43%)","9-15k","paid"
"46","Female","Married","23288.83","Employed","0.078","628","13944.59","Debt consolidation","14.08","36","D1","3","37497.08","23249.07","3","0","1","2-Standard","3","D","35-49","1. Excellent(<20%)","9-15k","paid"
"50","Female","Single","106992.42","Employed","0.275","690","4879.64","Car","13.19","36","C4","6","95944.37","21862.22","2","1","1","2-Standard","3","C","50-59","2. Standard(20-35%)","<9k","paid"
